SOC,B_Vol,B_Curr
79,52.69699733,-5269.705003
79,52.69699733,-3940.72807
79,52.69699733,-2874.839232
79,52.69699733,-2097.26772
79,52.69699733,-1530.029647
79,137.6740835,-1116.235425
79,137.6740835,-814.3825845
78.99999611,205.8289642,-594.1939653
78.99999327,255.5483081,-433.5815726
78.99999121,291.8185474,-316.4316249
78.9999897,318.2773063,-230.9886892
78.99998859,337.5783287,-172.8954772
78.99998779,351.6575914,-127.6480431
78.9999872,361.9274413,-94.65986734
78.99998678,369.418223,-69.28456749
78.99998646,374.8816003,-50.79367922
78.99998624,378.5961807,-37.32515151
78.99998607,381.4893823,-27.52056843
78.99998594,383.5987046,-20.38892924
78.99998585,385.2212474,-15.20727242
78.99998578,386.4035883,-11.44817818
78.99998573,387.2647903,-8.726879661
78.99998569,387.8917129,-6.762679114
78.99998566,388.3477225,-5.35079998
78.99998564,388.6790468,-4.341852239
78.99998563,388.9194097,-3.626851831
78.99998562,389.093414,-3.126291925
78.99998561,389.2190081,-2.782170116
78.9999856,389.3092857,-2.552172054
78.9999856,389.3737992,-2.40542825
78.99998559,389.419517,-2.319418546
78.99998559,389.4515231,-2.277713852
78.99998559,389.4735263,-2.268328672
78.99998558,389.4882321,-2.282519238
78.99998558,389.4976145,-2.313906715
78.99998558,389.5031134,-2.357837546
78.99998558,389.5057794,-2.410916822
78.99998557,389.5063787,-2.47066785
78.99998557,389.5054705,-2.535283805
78.99998557,389.5034627,-2.603446555
78.99998557,389.5006529,-2.674194482
78.99998556,389.497258,-2.74682606
78.99998556,389.4934365,-2.820829511
78.99998556,389.4893039,-2.895831488
78.99998556,389.4849445,-2.971559631
78.99998555,389.4804198,-3.047815264
78.99998555,389.4757745,-3.124453461
78.99998555,389.4710416,-3.201368516
78.99998555,389.4662447,-3.278483336
78.99998554,389.4614014,-3.355741705
78.99998554,389.4565244,-3.433102638
78.99998554,389.4516228,-3.510536268
78.99998553,389.4467036,-3.588020837
78.99998553,389.4417715,-3.665540507
78.99998553,389.4368302,-3.743083758
78.99998552,389.4318823,-3.820642227
78.99998552,389.4269298,-3.898209849
78.99998552,389.421974,-3.97578224
78.99998551,389.4170159,-4.053356245
78.99998551,389.4120562,-4.130929602
78.99998551,389.4070956,-4.208500705
78.9999855,389.4021343,-4.286068424
78.9999855,389.3971727,-4.363631979
78.9999855,389.392211,-4.441190842
78.99998549,389.3872493,-4.518744672
78.99998549,389.3822877,-4.596293263
78.99998548,389.3773263,-4.673836503
78.99998548,389.3723652,-4.751374354
78.99998547,389.3674043,-4.828906826
78.99998547,389.3624437,-4.906433964
78.99998547,389.3574834,-4.98395584
78.99998546,389.3525234,-5.061472539
78.99998546,389.3475638,-5.138984157
78.99998545,389.3426044,-5.216490796
78.99998545,389.3376454,-5.293992558
78.99998544,389.3326867,-5.371489546
78.99998544,389.3277282,-5.44898186
78.99998543,389.3227701,-5.526469593
78.99998543,389.3178123,-5.603952835
78.99998542,389.3128547,-5.681431667
78.99998542,389.3078975,-5.758906164
78.99998541,389.3029405,-5.83637639
78.99998541,389.2979837,-5.913842402
78.9999854,389.2930273,-5.991304248
78.9999854,389.2880711,-6.068761964
78.99998539,389.2831151,-6.146215578
78.99998538,389.2781594,-6.223665108
78.99998538,389.2732039,-6.301110559
78.99998537,389.2682486,-6.378551929
78.99998537,389.2632936,-6.455989204
78.99998536,389.2583388,-6.533422359
78.99998535,389.2533843,-6.61085136
78.99998535,389.24843,-6.688276164
78.99998534,389.2434759,-6.765696715
78.99998534,389.2385221,-6.843112951
78.99998533,389.2335685,-6.920524797
78.99998532,389.2286151,-6.997932172
78.99998532,389.223662,-7.075334985
78.99998531,389.2187091,-7.152733137
78.9999853,389.2137565,-7.230126522
78.9999853,389.2088041,-7.307515025
78.99998529,389.203852,-7.384898526
78.99998528,389.1989001,-7.462276898
78.99998528,389.1939485,-7.539650009
78.99998527,389.1889972,-7.61701772
78.99998526,389.1840462,-7.694379888
78.99998525,389.1790954,-7.771736369
78.99998525,389.174145,-7.849087013
78.99998524,389.1691948,-7.926431666
78.99998523,389.164245,-8.003770177
78.99998522,389.1592956,-8.081102388
78.99998522,389.1543464,-8.158428144
78.99998521,389.1493976,-8.23574729
78.9999852,389.1444491,-8.31305967
78.99998519,389.1395011,-8.390365131
78.99998519,389.1345534,-8.46766352
78.99998518,389.129606,-8.544954689
78.99998517,389.1246591,-8.622238491
78.99998516,389.1197126,-8.699514786
78.99998515,389.1147665,-8.776783434
78.99998515,389.1098208,-8.854044305
78.99998514,389.1048755,-8.931297271
78.99998513,389.0999307,-9.008542211
78.99998512,389.0949864,-9.085779012
78.99998511,389.0900425,-9.163007567
78.9999851,389.085099,-9.240227776
78.99998509,389.0801561,-9.317439547
78.99998509,389.0752136,-9.394642798
78.99998508,389.0702717,-9.471837454
78.99998507,389.0653302,-9.549023449
78.99998506,389.0603892,-9.626200726
78.99998505,389.0554488,-9.703369238
78.99998504,389.0505088,-9.780528948
78.99998503,389.0455694,-9.857679826
78.99998502,389.0406305,-9.934821855
78.99998501,389.0356922,-10.01195503
78.999985,389.0307543,-10.08907934
78.99998499,389.025817,-10.16619481
78.99998498,389.0208803,-10.24330145
78.99998497,389.0159441,-10.32039929
78.99998496,389.0110084,-10.39748838
78.99998495,389.0060733,-10.47456876
78.99998494,389.0011387,-10.55164049
78.99998493,388.9962046,-10.62870363
78.99998492,388.9912711,-10.70575826
78.99998491,388.9863381,-10.78280446
78.9999849,388.9814056,-10.85984233
78.99998489,388.9764736,-10.93687195
78.99998488,388.9715422,-11.01389343
78.99998487,388.9666113,-11.09090688
78.99998486,388.9616809,-11.16791242
78.99998485,388.956751,-11.24491017
78.99998484,388.9518216,-11.32190025
78.99998483,388.9468927,-11.39888279
78.99998482,388.9419643,-11.47585793
78.99998481,388.9370364,-11.55282581
78.9999848,388.9321089,-11.62978655
78.99998479,388.9271819,-11.70674031
78.99998477,388.9222554,-11.78368722
78.99998476,388.9173293,-11.86062743
78.99998475,388.9124036,-11.93756109
78.99998474,388.9074784,-12.01448832
78.99998473,388.9025536,-12.09140927
78.99998472,388.8976292,-12.16832409
78.99998471,388.8927052,-12.24523291
78.99998469,388.8877815,-12.32213586
78.99998468,388.8828583,-12.39903308
78.99998467,388.8779355,-12.47592468
78.99998466,388.873013,-12.5528108
78.99998465,388.8680908,-12.62969154
78.99998463,388.863169,-12.70656703
78.99998462,388.8582476,-12.78343737
78.99998461,388.8533265,-12.86030264
78.9999846,388.8484057,-12.93716296
78.99998459,388.8434852,-13.0140184
78.99998457,388.838565,-13.09086905
78.99998456,388.8336451,-13.16771497
78.99998455,388.8287256,-13.24455622
78.99998453,388.8238063,-13.32139286
78.99998452,388.8188873,-13.39822494
78.99998451,388.8139686,-13.4750525
78.9999845,388.8090501,-13.55187555
78.99998448,388.8041319,-13.62869413
78.99998447,388.799214,-13.70550825
78.99998446,388.7942964,-13.7823179
78.99998444,388.789379,-13.85912309
78.99998443,388.7844619,-13.93592379
78.99998442,388.779545,-14.01271999
78.9999844,388.7746284,-14.08951166
78.99998439,388.769712,-14.16629875
